Year,2003,,,,,,,,,,,,,,,
Points,10,8,6,5,4,3,2,1,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,
Races,Australia,Malaysia,Brazil,San Marino,Spain,Austria,Monaco,Canada,Europe,France,Great Britain,Germany,Hungary,Italy,USA,Japan
Half Points,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fernando ALONSO,7,3,3,6,2,ab,5,4,4,ab,ab,4,1,8,ab,ab
Rubens BARRICHELLO,ab,2,ab,3,3,3,8,5,3,7,1,ab,ab,3,ab,1
Zsolt BAUMGARTNER,-,-,-,-,-,-,-,-,-,-,-,t,ab,11,-,-
Jenson BUTTON,10,7,ab,8,9,4,np,ab,7,ab,8,8,10,ab,ab,4
David COULTHARD,1,ab,4,5,ab,5,7,ab,15,5,5,2,5,ab,ab,3
Cristiano da MATTA,ab,11,10,12,6,10,9,11,ab,11,7,6,11,ab,9,7
Ralph FIRMAN,ab,10,ab,ab,8,11,12,ab,11,15,13,ab,f,-,ab,14
Giancarlo FISICHELLA,12,ab,1,15,ab,ab,10,ab,12,ab,ab,13,ab,10,7,ab
Heinz-Harald FRENTZEN,6,9,5,11,ab,np,ab,ab,9,12,12,ab,ab,13,3,ab
Marc GENE,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-
Nick HEIDFELD,ab,8,ab,10,10,ab,11,ab,8,13,17,10,9,9,5,9
Nicolas KIESA,-,-,-,-,-,-,-,-,-,-,-,12,13,12,11,16
Franck MONTAGNY,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-
Juan-Pablo MONTOYA,2,12,ab,7,4,ab,1,3,2,2,2,1,3,2,6,ab
Olivier PANIS,ab,ab,ab,9,ab,ab,13,8,ab,8,11,5,ab,ab,ab,10
Antonio PIZZONIA,13,ab,ab,14,ab,9,ab,10,10,10,ab,-,-,-,-,-
Kimi RAIKKONEN,3,1,2,2,ab,2,2,6,ab,4,3,ab,2,4,2,2
Takuma SATO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
Michael SCHUMACHER,4,6,ab,1,1,1,3,1,5,3,4,7,8,1,1,8
Ralf SCHUMACHER,8,4,7,4,5,6,4,2,1,1,9,ab,4,f,ab,12
Jarno TRULLI,5,5,8,13,ab,8,6,ab,ab,ab,6,3,7,ab,4,5
Jos VERSTAPPEN,11,13,ab,ab,12,ab,ab,9,14,16,15,ab,12,ab,10,15
Jacques VILLENEUVE,9,np,6,ab,ab,12,ab,ab,ab,9,10,9,ab,6,ab,-
Mark WEBBER,ab,ab,9,ab,7,7,ab,7,6,6,14,11,6,7,ab,11
Justin WILSON,ab,ab,ab,ab,11,13,ab,ab,13,14,16,ab,ab,ab,8,13
