Year,1996,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,
Races,Australia,Brazil,Argentina,Europe,San Marino,Monaco,Spain,Canada,France,Great Britain,Germany,Hungary,Belgium,Italy,Portugal,Japan
Half Points,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jean ALESI,ab,2,3,ab,6,ab,2,3,3,ab,2,3,4,2,4,ab
Luca BADOER,nq,11,ab,nq,10,ab,nq,ab,ab,nq,f,f,-,-,-,-
Rubens BARRICHELLO,ab,ab,4,5,5,ab,ab,ab,9,4,6,6,ab,5,ab,9
Gerhard BERGER,4,ab,ab,9,3,ab,ab,ab,4,2,13,ab,6,ab,6,4
Martin BRUNDLE,ab,12,ab,6,ab,ab,ab,6,8,6,10,ab,ab,4,9,5
David COULTHARD,ab,ab,7,3,ab,2,ab,4,6,5,5,ab,ab,ab,13,8
Pedro DINIZ,10,8,ab,10,7,ab,6,ab,ab,ab,ab,ab,ab,6,ab,ab
Giancarlo FISICHELLA,ab,-,-,13,ab,ab,ab,8,ab,11,-,-,-,-,-,-
Heinz-Harald FRENTZEN,8,ab,ab,ab,ab,4,4,ab,ab,8,8,ab,ab,ab,7,6
Mika HAKKINEN,5,4,ab,8,8,6,5,5,5,3,ab,4,3,3,ab,3
Johnny HERBERT,ab,ab,9,7,ab,3,ab,7,dsq,9,ab,ab,ab,9,8,10
Damon HILL,1,1,1,4,1,ab,ab,1,1,ab,1,2,5,ab,2,1
Eddie IRVINE,3,7,5,ab,4,7,ab,ab,ab,ab,ab,ab,ab,ab,5,ab
Ukyo KATAYAMA,11,9,ab,dsq,ab,ab,ab,ab,ab,ab,ab,7,8,10,12,ab
Pedro LAMY,ab,10,ab,12,9,ab,ab,ab,12,ab,12,ab,10,ab,16,12
Giovanni LAVAGGI,-,-,-,-,-,-,-,-,-,-,nq,10,nq,ab,15,nq
Tarso MARQUES,-,ab,ab,-,-,-,-,-,-,-,-,-,-,-,-,-
Andrea MONTERMINI,nq,ab,10,nq,nq,np,nq,ab,ab,nq,f,f,-,-,-,-
Olivier PANIS,7,6,8,ab,ab,1,ab,ab,7,ab,7,5,ab,ab,10,7
Ricardo ROSSET,9,ab,ab,11,ab,ab,ab,ab,11,ab,11,8,9,ab,14,13
Mika SALO,6,5,ab,dsq,ab,5,dsq,ab,10,7,9,ab,7,ab,11,ab
Michael SCHUMACHER,ab,3,ab,2,2,ab,1,ab,np,ab,4,9,1,1,3,2
Jos VERSTAPPEN,ab,ab,6,ab,ab,ab,ab,ab,ab,10,ab,ab,ab,8,ab,11
Jacques VILLENEUVE,2,ab,2,1,11,ab,3,2,2,1,3,1,2,7,1,ab
