Year,2005,,,,,,,,,,,,,,,,,,
Points,10,8,6,5,4,3,2,1,,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,,,
Races,Australia,Malaysia,Bahrain,San Marino,Spain,Monaco,Europe,Canada,USA,France,Great Britain,Germany,Hungary,Turkey,Italy,Belgium,Brazil,Japan,China
Half Points,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Christijan ALBERS,ab,13,13,ab,ab,14,17,11,5,ab,18,13,nc,ab,19,12,14,16,16
Fernando ALONSO,3,1,1,1,2,4,1,ab,f,1,2,1,11,2,2,2,3,3,1
Rubens BARRICHELLO,2,ab,9,ab,9,8,3,3,2,9,7,10,10,10,12,5,6,11,12
Jenson BUTTON,11,ab,ab,dsq,exc,exc,10,ab,f,4,5,3,5,5,8,3,7,5,8
David COULTHARD,4,6,8,11,8,ab,4,7,f,10,13,7,ab,7,15,ab,ab,6,9
Anthony DAVIDSON,-,ab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pedro de la ROSA,t,t,5,t,t,-,-,t,t,t,t,-,-,t,t,-,-,t,t
Robert DOORNBOS,t,t,t,t,t,t,-,-,t,t,t,18,ab,13,18,13,ab,14,14
Giancarlo FISICHELLA,1,ab,ab,ab,5,12,6,ab,f,6,4,4,9,4,3,ab,5,2,4
Patrick FRIESACHER,17,ab,12,ab,ab,ab,18,ab,6,ab,19,-,-,-,-,-,-,-,-
Nick HEIDFELD,ab,3,ab,6,10,2,2,ab,f,14,12,11,6,ab,f,-,-,-,-
Narain KARTHIKEYAN,15,11,ab,12,13,ab,16,ab,4,15,ab,16,12,14,20,11,15,15,ab
Christian KLIEN,7,8,np,t,t,t,t,8,f,ab,15,9,ab,8,13,9,9,9,5
Vitantonio LIUZZI,t,t,t,8,ab,ab,9,-,-,t,t,t,t,t,t,t,t,t,t
Felipe MASSA,10,10,7,10,11,9,14,4,f,ab,10,8,14,ab,9,10,11,10,6
Tiago MONTEIRO,16,12,10,13,12,13,15,10,3,13,17,17,13,15,17,8,ab,13,11
Juan-Pablo MONTOYA,6,4,-,-,7,5,7,dsq,f,ab,1,2,ab,3,1,14,1,ab,ab
Antonio PIZZONIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,15,ab,ab,13
Kimi RAIKKONEN,8,9,3,ab,1,1,11,1,f,2,3,ab,1,1,4,1,2,1,2
Takuma SATO,14,f,ab,dsq,exc,exc,12,ab,f,11,16,12,8,9,16,ab,10,dsq,ab
Michael SCHUMACHER,ab,7,ab,2,ab,7,5,2,1,3,6,5,2,ab,10,ab,4,7,ab
Ralf SCHUMACHER,12,5,4,9,4,6,ab,6,f,7,8,6,3,12,6,7,8,8,3
Jarno TRULLI,9,2,2,5,3,10,8,ab,f,5,9,14,4,6,5,ab,13,ab,15
Jacques VILLENEUVE,13,ab,11,4,ab,11,13,9,f,8,14,15,ab,11,11,6,12,12,10
Mark WEBBER,5,ab,6,7,6,3,ab,5,f,12,11,nc,7,ab,14,4,nc,4,7
Alexander WURZ,-,-,t,3,-,t,t,-,-,-,-,t,t,-,-,t,t,-,-
